stem,orig_img,frag_img,gt_mask,iou_orig,iou_frag,chance_iou,niou_orig,niou_frag,score_orig,score_frag,noise_density,source_csv,norm_iou_orig,norm_iou_frag,delta_norm
COCO_val2014_000000391895_ann151091,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000391895.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000391895_ann151091_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000391895_ann151091_mask.png,0.0545887374815301,0.8881588883854402,0.0528732638888888,0.0018112397499039,0.8819153685030814,0.9721623063087464,0.9466118812561036,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.0018112397499040194,0.8819153685030815,-0.8801041287531775
COCO_val2014_000000391895_ann202758,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000391895.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000391895_ann202758_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000391895_ann202758_mask.png,0.0026356114005516,0.543852065321806,0.0612152777777777,0.0,0.5141080549346455,0.9308426380157472,0.826034665107727,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,-0.06239946708821657,0.5141080549346456,-0.5765075220228622
COCO_val2014_000000522418_ann455475,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000522418.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000522418_ann455475_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000522418_ann455475_mask.png,0.0009188130742581,0.2035919677235855,0.2056705729166666,0.0,0.0,0.9294631481170654,0.9949442148208618,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,-0.25776680664372253,-0.0026168049705944264,-0.2551500016731281
COCO_val2014_000000522418_ann1085508,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000522418.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000522418_ann1085508_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000522418_ann1085508_mask.png,0.9250212073472638,0.9316190574939084,0.1777311197916666,0.9088147509197488,0.9168387079311986,1.000483155250549,0.9864211082458496,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.9088147509197487,0.9168387079311985,-0.008023957011449756
COCO_val2014_000000184613_ann72124,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann72124_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann72124_mask.png,0.9155139679956604,0.9268093226114216,0.0424404761904761,0.9117694201732514,0.9235654018693282,0.9920020699501038,0.972582459449768,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.9117694201732514,0.9235654018693282,-0.011795981696076874
COCO_val2014_000000184613_ann75495,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann75495_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann75495_mask.png,0.8639871850881026,0.8864394488759971,0.0372797619047619,0.8587203119558371,0.8820420028266106,0.9888321161270142,0.9209227561950684,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.8587203119558371,0.8820420028266106,-0.023321690870773515
COCO_val2014_000000184613_ann286024,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann286024_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann286024_mask.png,0.8594285714285714,0.7620837405096594,0.0610952380952381,0.8502814829842268,0.7466023507989475,0.9931596517562866,0.9431829452514648,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.8502814829842268,0.7466023507989475,0.10367913218527924
COCO_val2014_000000184613_ann1202318,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann1202318_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann1202318_mask.png,0.0406634563937934,0.0661532824354114,0.06675,0.0,0.0,0.9133406281471252,0.9324871301651,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,-0.027952363896283527,-0.0006393973368214397,-0.02731296655946209
COCO_val2014_000000184613_ann2177286,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann2177286_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann2177286_mask.png,0.9060501205829924,0.1088943606990571,0.1102857142857142,0.894404438677095,0.0,0.999146580696106,0.962459683418274,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,0.8944044386770948,-0.0015638206657995616,0.8959682593428944
COCO_val2014_000000184613_ann900100184613,outputs/experiments/noise_density/n0/assets/images/COCO_val2014_000000184613.png,outputs/experiments/noise_density/n0/stimuli/fragments/COCO_val2014_000000184613_ann900100184613_fragmented.png,outputs/experiments/noise_density/n0/assets/masks/COCO_val2014_000000184613_ann900100184613_mask.png,0.0296305479791718,0.0262679583695749,0.0439166666666666,0.0,0.0,0.9936912059783936,1.0098642110824585,0,outputs/experiments/noise_density/n0/metrics/sam_iou.csv,-0.014942336289543934,-0.018459382861073858,0.0035170465715299234
