stem,iou_orig,iou_frag
COCO_val2014_000000391895,0.46373883453849424,0.12150707405708641
COCO_val2014_000000522418,0.0001826125772721739,0.40332621959202913
COCO_val2014_000000184613,0.32021331690998417,0.4263875101525133
COCO_val2014_000000318219,0.5192032100888506,0.6254302396604978
COCO_val2014_000000554625,0.07478377620919122,0.5644095484782481
COCO_val2014_000000397133,0.018751090179661607,0.39265752257927145
COCO_val2014_000000574769,0.41793800589354324,0.3491878701776195
COCO_val2014_000000060623,0.14615284251977845,0.9255934923357866
COCO_val2014_000000309022,0.1400669508465188,0.12588050549614896
COCO_val2014_000000005802,0.6232641970588637,0.23866423287793317
