stem,orig_img,frag_img,gt_mask,iou_orig,iou_frag,chance_iou,niou_orig,niou_frag,score_orig,score_frag
COCO_val2014_000000118113_ann1962899,outputs/assets/images/COCO_val2014_000000118113.png,outputs/stimuli/fragments/COCO_val2014_000000118113_ann1962899_fragmented.png,outputs/assets/masks/COCO_val2014_000000118113_ann1962899_mask.png,0.08988873706812414,0.033670498386471334,0.033352864583333336,0.058486567035055045,0.0003285933320446704,0.9231793880462646,0.9884289503097534
COCO_val2014_000000118113_ann1980649,outputs/assets/images/COCO_val2014_000000118113.png,outputs/stimuli/fragments/COCO_val2014_000000118113_ann1980649_fragmented.png,outputs/assets/masks/COCO_val2014_000000118113_ann1980649_mask.png,0.298910737020795,0.023216936638684165,0.023011067708333333,0.28239794760550635,0.00021071777125247223,0.9504987597465515,1.0011528730392456
COCO_val2014_000000118113_ann1981186,outputs/assets/images/COCO_val2014_000000118113.png,outputs/stimuli/fragments/COCO_val2014_000000118113_ann1981186_fragmented.png,outputs/assets/masks/COCO_val2014_000000118113_ann1981186_mask.png,0.5797315674333353,0.034042679098025164,0.033707682291666666,0.5650711230289229,0.00034668267585214694,0.9671798944473267,0.9932599067687988
COCO_val2014_000000193271_ann1121554,outputs/assets/images/COCO_val2014_000000193271.png,outputs/stimuli/fragments/COCO_val2014_000000193271_ann1121554_fragmented.png,outputs/assets/masks/COCO_val2014_000000193271_ann1121554_mask.png,0.14614065180102917,0.03832677023002636,0.03795572916666667,0.11245316448966691,0.0003856798222375932,0.9975227117538452,0.9818164110183716
COCO_val2014_000000224736_ann1094629,outputs/assets/images/COCO_val2014_000000224736.png,outputs/stimuli/fragments/COCO_val2014_000000224736_ann1094629_fragmented.png,outputs/assets/masks/COCO_val2014_000000224736_ann1094629_mask.png,0.87569573283859,0.022594402028100726,0.022434865339578454,0.8728429822688084,0.0001631980139898205,0.933165431022644,0.9924091100692749
COCO_val2014_000000483108_ann125310,outputs/assets/images/COCO_val2014_000000483108.png,outputs/stimuli/fragments/COCO_val2014_000000483108_ann125310_fragmented.png,outputs/assets/masks/COCO_val2014_000000483108_ann125310_mask.png,0.012763021731631597,0.0037944118661607453,0.021166764018691588,0.0,0.0,0.9544835686683655,0.8665081858634949
COCO_val2014_000000483108_ann173331,outputs/assets/images/COCO_val2014_000000483108.png,outputs/stimuli/fragments/COCO_val2014_000000483108_ann173331_fragmented.png,outputs/assets/masks/COCO_val2014_000000483108_ann173331_mask.png,0.7411995261564561,0.2396892011977926,0.23484959112149534,0.6617652283256665,0.006325044096089259,0.9742343425750732,1.0240991115570068
COCO_val2014_000000483108_ann188213,outputs/assets/images/COCO_val2014_000000483108.png,outputs/stimuli/fragments/COCO_val2014_000000483108_ann188213_fragmented.png,outputs/assets/masks/COCO_val2014_000000483108_ann188213_mask.png,0.7676216462028195,0.03104638643149704,0.03065493574766355,0.7602728250580036,0.00040383006864064486,0.9647053480148315,0.9889237880706787
COCO_val2014_000000403013_ann1647043,outputs/assets/images/COCO_val2014_000000403013.png,outputs/stimuli/fragments/COCO_val2014_000000403013_ann1647043_fragmented.png,outputs/assets/masks/COCO_val2014_000000403013_ann1647043_mask.png,0.8659757390177836,0.061854824885033056,0.06126984126984127,0.857228129153202,0.0006231648251113015,0.9676108360290527,0.977985143661499
COCO_val2014_000000374628_ann104472,outputs/assets/images/COCO_val2014_000000374628.png,outputs/stimuli/fragments/COCO_val2014_000000374628_ann104472_fragmented.png,outputs/assets/masks/COCO_val2014_000000374628_ann104472_mask.png,0.11160081851093971,0.03061308769014755,0.03042082055214724,0.08372704331896041,0.0001982995737488944,0.9716046452522278,0.9609782695770264
COCO_val2014_000000328757_ann443506,outputs/assets/images/COCO_val2014_000000328757.png,outputs/stimuli/fragments/COCO_val2014_000000328757_ann443506_fragmented.png,outputs/assets/masks/COCO_val2014_000000328757_ann443506_mask.png,0.8304943599061246,0.0004039393706239901,0.3131807228915663,0.7532019764973572,0.0,1.0076868534088135,0.9113323092460632
COCO_val2014_000000328757_ann1641505,outputs/assets/images/COCO_val2014_000000328757.png,outputs/stimuli/fragments/COCO_val2014_000000328757_ann1641505_fragmented.png,outputs/assets/masks/COCO_val2014_000000328757_ann1641505_mask.png,0.1651670546781602,0.09497264374935481,0.09573493975903614,0.07678292347226393,0.0,0.9791001081466675,0.9910852909088135
COCO_val2014_000000384213_ann1127821,outputs/assets/images/COCO_val2014_000000384213.png,outputs/stimuli/fragments/COCO_val2014_000000384213_ann1127821_fragmented.png,outputs/assets/masks/COCO_val2014_000000384213_ann1127821_mask.png,0.41092847623278544,0.04849620820406756,0.04802133333333333,0.3812135246372315,0.0004988293197756126,0.9965043067932129,0.979934573173523
COCO_val2014_000000384213_ann1129131,outputs/assets/images/COCO_val2014_000000384213.png,outputs/stimuli/fragments/COCO_val2014_000000384213_ann1129131_fragmented.png,outputs/assets/masks/COCO_val2014_000000384213_ann1129131_mask.png,0.48363879201602733,0.05526236429433052,0.05493866666666666,0.45362148490118526,0.0003425149418843957,0.9617171287536621,0.991645336151123
COCO_val2014_000000293802_ann1226531,outputs/assets/images/COCO_val2014_000000293802.png,outputs/stimuli/fragments/COCO_val2014_000000293802_ann1226531_fragmented.png,outputs/assets/masks/COCO_val2014_000000293802_ann1226531_mask.png,0.26683790806726204,0.12410613788415176,0.12284558823529412,0.16415846275261448,0.0014370897893810888,0.9748008847236633,0.9830199480056763
